component_id,component_name,component_type,sku,tier_level,supplier_id,supplier_name,supplier_country,annual_volume,unit_cost_usd,lead_time_days,is_single_source,critical_component
COMP-0001,Coaxial Cable v4,cable,SKU-CAB-00001,2,supplier_239,StarComp CHI-239,China,325616,1.44,20,0,0
COMP-0002,Power Cell v3,battery_cell,SKU-BAT-00002,3,supplier_392,PrecisionCo CHI-392,China,37551,66.72,25,0,0
COMP-0003,Data Cable v3,cable,SKU-CAB-00003,2,supplier_277,NexGen TAI-277,Taiwan,208713,1.97,21,0,0
COMP-0004,OLED Display v4,display,SKU-DIS-00004,2,supplier_367,NexGen TAI-367,Taiwan,318686,19.25,51,0,0
COMP-0005,Li-Ion Cell v3,battery_cell,SKU-BAT-00005,2,supplier_389,StarComp GER-389,Germany,437565,43.45,60,0,0
COMP-0006,Board-to-Board v1,connector,SKU-CON-00006,2,supplier_206,PrimeParts CHI-206,China,325094,1.69,9,0,0
COMP-0007,Frame v2,housing,SKU-HOU-00007,3,supplier_463,UniComp JAP-463,Japan,119571,5.9,15,0,0
COMP-0008,Wi-Fi IC v2,ic_chip,SKU-IC_-00008,2,supplier_055,CoreTech TAI-055,Taiwan,381465,7.76,70,0,0
COMP-0009,Power IC v3,semiconductor,SKU-SEM-00009,3,supplier_370,TechMfg JAP-370,Japan,191218,19.53,48,0,1
COMP-0010,Touch Screen v1,display,SKU-DIS-00010,1,supplier_430,TechMfg JAP-430,Japan,475884,82.89,61,0,0
COMP-0011,Aluminum Chassis v4,housing,SKU-HOU-00011,3,supplier_201,GlobalParts CHI-201,China,305501,3.95,35,0,0
COMP-0012,Rigid-Flex PCB v3,pcb,SKU-PCB-00012,3,supplier_175,CoreTech SOU-175,South Korea,451316,15.17,23,0,0
COMP-0013,Sub-PCB v1,pcb,SKU-PCB-00013,3,supplier_138,ApexManuf CHI-138,China,433238,3.04,20,0,0
COMP-0014,Front Camera v2,camera_module,SKU-CAM-00014,3,supplier_359,StarComp CHI-359,China,267024,51.49,90,1,0
COMP-0015,Gyroscope v3,sensor,SKU-SEN-00015,2,supplier_069,StarComp CHI-069,China,93752,14.17,60,0,0
COMP-0016,Proximity Sensor v1,sensor,SKU-SEN-00016,3,supplier_197,NexGen CHI-197,China,110136,3.12,37,0,0
COMP-0017,OLED Display v1,display,SKU-DIS-00017,1,supplier_034,EliteMfg TAI-034,Taiwan,277627,57.13,31,0,0
COMP-0018,NFC Chip v4,ic_chip,SKU-IC_-00018,2,supplier_172,PrecisionCo CHI-172,China,443754,7.54,88,0,0
COMP-0019,Back Cover v4,housing,SKU-HOU-00019,3,supplier_143,UniComp CHI-143,China,193468,5.22,21,0,0
COMP-0020,Power Wire v2,cable,SKU-CAB-00020,2,supplier_265,CoreTech MEX-265,Mexico,108206,1.31,15,0,0
COMP-0021,DRAM Module v4,semiconductor,SKU-SEM-00021,1,supplier_121,GlobalParts TAI-121,Taiwan,89105,70.07,56,0,0
COMP-0022,DRAM Module v1,semiconductor,SKU-SEM-00022,2,supplier_281,GlobalParts CHI-281,China,292716,35.63,104,0,0
COMP-0023,Data Cable v4,cable,SKU-CAB-00023,2,supplier_498,ApexManuf CHI-498,China,128203,1.81,19,0,0
COMP-0024,Power Cell v2,battery_cell,SKU-BAT-00024,2,supplier_093,UniComp USA-093,USA,160065,59.8,25,0,0
COMP-0025,Board-to-Board v4,connector,SKU-CON-00025,2,supplier_257,NexGen SOU-257,South Korea,70264,2.88,7,0,0
COMP-0026,Accelerometer v2,sensor,SKU-SEN-00026,1,supplier_021,GlobalParts TAI-021,Taiwan,286285,9.37,17,0,0
COMP-0027,Battery Module v4,battery_cell,SKU-BAT-00027,1,supplier_157,NexGen CHI-157,China,426067,36.45,25,0,0
COMP-0028,Accelerometer v4,sensor,SKU-SEN-00028,1,supplier_350,TechMfg CHI-350,China,488583,8.19,28,0,0
COMP-0029,LiPo Pack v1,battery_cell,SKU-BAT-00029,1,supplier_001,GlobalParts CHI-001,China,207682,3.11,55,0,0
COMP-0030,Touch Screen v2,display,SKU-DIS-00030,1,supplier_245,CoreTech SOU-245,South Korea,205362,94.77,56,0,1
COMP-0031,Rigid-Flex PCB v3,pcb,SKU-PCB-00031,1,supplier_131,GlobalParts TAI-131,Taiwan,298933,12.52,21,0,0
COMP-0032,Coaxial Cable v2,cable,SKU-CAB-00032,1,supplier_115,CoreTech TAI-115,Taiwan,123810,0.11,20,0,0
COMP-0033,Sub-PCB v4,pcb,SKU-PCB-00033,1,supplier_356,PrimeParts IND-356,India,301996,4.32,15,0,0
COMP-0034,Power IC v1,semiconductor,SKU-SEM-00034,1,supplier_005,CoreTech TAI-005,Taiwan,408371,9.74,47,0,0
COMP-0035,Proximity Sensor v2,sensor,SKU-SEN-00035,2,supplier_121,GlobalParts TAI-121,Taiwan,115742,17.06,41,0,0
COMP-0036,Mainboard PCB v2,pcb,SKU-PCB-00036,2,supplier_427,NexGen USA-427,USA,229183,19.55,19,0,0
COMP-0037,Audio Codec v2,ic_chip,SKU-IC_-00037,3,supplier_128,ApexManuf JAP-128,Japan,278689,6.07,52,0,0
COMP-0038,Audio Codec v1,ic_chip,SKU-IC_-00038,3,supplier_181,GlobalParts VIE-181,Vietnam,74668,8.01,43,0,0
COMP-0039,Touch Screen v2,display,SKU-DIS-00039,2,supplier_109,StarComp TAI-109,Taiwan,318038,13.98,49,1,0
COMP-0040,RF Cable v3,cable,SKU-CAB-00040,1,supplier_174,EliteMfg JAP-174,Japan,351199,1.45,9,0,0
COMP-0041,Coaxial Cable v2,cable,SKU-CAB-00041,1,supplier_370,TechMfg JAP-370,Japan,62526,1.19,20,0,0
COMP-0042,Li-Ion Cell v4,battery_cell,SKU-BAT-00042,2,supplier_072,PrecisionCo CHI-072,China,30583,47.13,27,0,0
COMP-0043,LED Array v2,display,SKU-DIS-00043,1,supplier_003,UniComp SOU-003,South Korea,276903,72.23,90,0,0
COMP-0044,USB-C Port v3,connector,SKU-CON-00044,3,supplier_449,StarComp TAI-449,Taiwan,207816,1.88,19,0,0
COMP-0045,OLED Display v3,display,SKU-DIS-00045,2,supplier_026,PrimeParts SOU-026,South Korea,66448,81.32,47,0,0
COMP-0046,Audio Codec v1,ic_chip,SKU-IC_-00046,2,supplier_010,TechMfg CHI-010,China,78552,8.75,37,0,0
COMP-0047,Data Cable v3,cable,SKU-CAB-00047,2,supplier_306,PrimeParts CHI-306,China,262866,1.36,12,0,0
COMP-0048,Back Cover v4,housing,SKU-HOU-00048,2,supplier_284,EliteMfg TAI-284,Taiwan,358948,6.58,45,0,0
COMP-0049,NFC Chip v4,ic_chip,SKU-IC_-00049,2,supplier_007,NexGen CHI-007,China,179536,4.14,57,0,0
COMP-0050,Wi-Fi IC v4,ic_chip,SKU-IC_-00050,1,supplier_445,CoreTech TAI-445,Taiwan,80427,1.58,68,0,0
COMP-0051,Board-to-Board v2,connector,SKU-CON-00051,1,supplier_090,TechMfg USA-090,USA,459995,2.74,27,0,0
COMP-0052,Li-Ion Cell v2,battery_cell,SKU-BAT-00052,2,supplier_235,CoreTech TAI-235,Taiwan,322395,35.98,56,0,0
COMP-0053,Flex PCB v1,pcb,SKU-PCB-00053,2,supplier_371,GlobalParts CHI-371,China,267204,14.68,39,0,0
COMP-0054,Mainboard PCB v4,pcb,SKU-PCB-00054,3,supplier_452,PrecisionCo GER-452,Germany,430670,3.4,39,0,0
COMP-0055,DRAM Module v2,semiconductor,SKU-SEM-00055,1,supplier_372,PrecisionCo SOU-372,South Korea,105567,30.79,119,0,0
COMP-0056,Coaxial Cable v4,cable,SKU-CAB-00056,1,supplier_444,EliteMfg TAI-444,Taiwan,313516,1.22,11,0,0
COMP-0057,Back Cover v2,housing,SKU-HOU-00057,2,supplier_205,CoreTech TAI-205,Taiwan,288105,7.28,43,0,0
COMP-0058,NAND Flash v2,semiconductor,SKU-SEM-00058,1,supplier_189,StarComp CHI-189,China,384575,13.87,54,0,0
COMP-0059,FPC Connector v1,connector,SKU-CON-00059,3,supplier_170,TechMfg CHI-170,China,363766,0.34,12,0,0
COMP-0060,Rigid-Flex PCB v3,pcb,SKU-PCB-00060,1,supplier_441,GlobalParts MEX-441,Mexico,239287,5.46,20,0,0
COMP-0061,Flex PCB v1,pcb,SKU-PCB-00061,1,supplier_235,CoreTech TAI-235,Taiwan,64420,12.56,15,0,0
COMP-0062,Power IC v1,semiconductor,SKU-SEM-00062,2,supplier_327,NexGen CHI-327,China,441865,20.94,53,0,0
COMP-0063,OLED Display v2,display,SKU-DIS-00063,3,supplier_383,UniComp VIE-383,Vietnam,386451,118.23,85,0,0
COMP-0064,Wide-Angle v2,camera_module,SKU-CAM-00064,1,supplier_477,NexGen USA-477,USA,205357,52.63,38,0,0
COMP-0065,Battery Module v2,battery_cell,SKU-BAT-00065,3,supplier_049,StarComp SOU-049,South Korea,371610,50.19,45,0,0
COMP-0066,Aluminum Chassis v1,housing,SKU-HOU-00066,1,supplier_127,NexGen CHI-127,China,53780,8.97,41,0,0
COMP-0067,Back Cover v3,housing,SKU-HOU-00067,1,supplier_149,StarComp USA-149,USA,417686,11.52,26,0,0
COMP-0068,FPGA Chip v1,semiconductor,SKU-SEM-00068,3,supplier_104,EliteMfg CHI-104,China,204535,71.79,54,0,0
COMP-0069,Accelerometer v2,sensor,SKU-SEN-00069,3,supplier_133,UniComp CHI-133,China,309047,8.56,22,1,0
COMP-0070,MCU Unit v1,semiconductor,SKU-SEM-00070,2,supplier_123,UniComp SOU-123,South Korea,67478,70.09,109,0,1
COMP-0071,Gyroscope v3,sensor,SKU-SEN-00071,1,supplier_266,PrimeParts TAI-266,Taiwan,166877,3.64,25,0,0
COMP-0072,Power IC v1,semiconductor,SKU-SEM-00072,2,supplier_444,EliteMfg TAI-444,Taiwan,164538,39.76,84,0,0
